Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,206.380005,206.880005,204.179993,205.429993,194.274948,121465900
2015-01-05,204.169998,204.369995,201.350006,201.720001,190.766403,169632600
2015-01-06,202.089996,202.720001,198.860001,199.820007,188.969589,209151400
2015-01-07,201.419998,202.720001,200.880005,202.309998,191.324356,125346700
2015-01-08,204.009995,206.160004,203.990005,205.899994,194.719437,147217800
2015-01-09,206.399994,206.419998,203.509995,204.250000,193.159027,150812300
2015-01-12,204.410004,204.600006,201.919998,202.649994,191.645905,144396100
2015-01-13,204.119995,205.479996,200.509995,202.080002,191.106888,214553300
2015-01-14,199.649994,201.100006,198.570007,200.860001,189.953125,192991100
2015-01-15,201.630005,202.009995,198.880005,199.020004,188.213028,176613900
2015-01-16,198.770004,201.820007,198.550003,201.630005,190.681305,211879600
2015-01-20,202.399994,202.720001,200.169998,202.059998,191.087936,129466200
2015-01-21,201.500000,203.660004,200.940002,203.080002,192.052582,122942700
2015-01-22,203.990005,206.259995,202.330002,206.100006,194.908569,174356000
2015-01-23,205.789993,206.100006,204.809998,204.970001,193.839920,115637000
2015-01-26,204.710007,205.559998,203.850006,205.449997,194.293869,92009700
2015-01-27,202.970001,204.119995,201.740005,202.740005,191.731033,134044600
2015-01-28,204.169998,204.289993,199.910004,200.139999,189.272217,168514300
2015-01-29,200.380005,202.300003,198.679993,201.990005,191.021774,173585400
2015-01-30,200.570007,202.169998,199.130005,199.449997,188.619705,197729700
2015-02-02,200.050003,202.029999,197.860001,201.919998,190.955566,163107000
2015-02-03,203.000000,204.850006,202.550003,204.839996,193.717010,122416200
2015-02-04,203.919998,205.380005,203.509995,204.059998,192.979370,134306700
2015-02-05,204.860001,206.300003,204.770004,206.119995,194.927490,97953200
2015-02-06,206.559998,207.240005,204.919998,205.550003,194.388443,119694900
2015-02-09,204.770004,205.639999,204.139999,204.630005,193.518417,87219000
2015-02-10,205.880005,207.119995,204.679993,206.809998,195.580032,96164200
2015-02-11,206.610001,207.449997,205.830002,206.929993,195.693497,91087800
2015-02-12,207.889999,208.990005,206.970001,208.919998,197.575455,97545900
2015-02-13,209.070007,209.839996,208.759995,209.779999,198.388733,93670400
2015-02-17,209.399994,210.320007,209.100006,210.110001,198.700851,76968200
2015-02-18,209.660004,210.220001,209.339996,210.130005,198.719742,74848400
2015-02-19,209.410004,210.419998,209.240005,209.979996,198.577896,91462500
2015-02-20,209.479996,211.330002,208.729996,211.240005,199.769470,140896400
2015-02-23,210.940002,211.210007,210.479996,211.210007,199.741104,74411100
2015-02-24,211.119995,212.050003,210.759995,211.809998,200.308533,70943200
2015-02-25,211.660004,212.240005,211.220001,211.630005,200.138290,73061700
2015-02-26,211.520004,211.710007,210.649994,211.380005,199.901886,72697900
2015-02-27,211.259995,211.580002,210.600006,210.660004,199.220978,108076000
2015-03-02,210.779999,212.059998,210.720001,211.990005,200.478745,87491400
2015-03-03,211.470001,212.050003,210.080002,211.119995,199.655975,110325800
2015-03-04,210.399994,210.490005,209.059998,210.229996,198.814301,105665800
2015-03-05,209.419998,210.800003,209.850006,210.460007,199.031830,76873000
2015-03-06,210.460007,210.460007,207.100006,207.500000,196.232544,188128000
2015-03-09,207.740005,208.789993,207.550003,208.360001,197.045868,89818900
2015-03-10,206.710007,206.809998,204.929993,204.979996,193.849380,153901500
2015-03-11,205.289993,205.500000,204.399994,204.500000,193.395477,110145700
2015-03-12,205.259995,207.179993,205.199997,207.100006,195.854294,93993500
2015-03-13,206.770004,207.929993,204.580002,205.830002,194.653229,162410900
2015-03-16,206.710007,208.690002,205.860001,208.580002,197.253906,136099200
2015-03-17,207.690002,208.419998,206.979996,207.960007,196.667572,91167100
2015-03-18,207.389999,211.270004,206.619995,210.460007,199.031830,220171200
2015-03-19,209.960007,210.470001,209.029999,209.500000,198.123962,117917300
2015-03-20,209.710007,211.020004,209.490005,210.410004,199.872757,177715100
2015-03-23,210.419998,211.110001,210.000000,210.000000,199.483292,71310300
2015-03-24,209.850006,210.399994,208.740005,208.820007,198.362396,77805300
2015-03-25,209.070007,209.350006,205.710007,205.759995,195.455627,159521700
2015-03-26,204.960007,206.369995,204.119995,205.270004,194.990158,153067200
2015-03-27,205.130005,205.949997,204.899994,205.740005,195.436630,109352100
2015-03-30,205.740005,208.610001,206.960007,208.250000,197.820938,96180400
